instance,strategy,objective,z_eff,z_eq,transit_share,transit_ridership,private_flow,avg_access_min,avg_access_increase_min,coverage,max_zone_access_increase,retained_stops,avg_frequency,avg_wait_min,avg_ivh_min,runtime_sec,mip_gap,kkt_residual,fixed_point_iters,feasible,y_pattern,freq_pattern,strategy_short,mu_car,mu_ebike
route438_mu_c0.0047_e0.0036,Joint MILP,9.893608515227621,9.828781288006242,0.3241361361068913,0.3667595033186079,3916.3942013944697,6761.974296946491,6.775961525178525,0.3241361361068912,1.0,1.3277953372173068,24,5.6,5.485714285714286,35.77269788970228,2.694020299706608,0.025190085999816696,,18,True,101101101111101111111110101111,"5,7,7,5,5,5,5,5,7,5",MILP,0.004666666666666667,0.0035555555555555553
route438_mu_c0.0047_e0.0056,Current practice,11.459554941764633,11.459554941764633,1.0292517175900214e-16,0.2766117388556793,2953.7628890039464,7724.605201190837,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,39.406614349036495,0.015807900112122297,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,0.004666666666666667,0.00561111111111111
route438_mu_c0.0047_e0.0056,Stop-only MILP,10.632539665377404,10.532834090749311,0.4985278731404669,0.32782332971261696,3500.6192776223597,7177.749139942838,6.950353262212102,0.4985278731404669,1.0,1.3277953372173068,22,3.7,8.55,35.42163210207944,0.6945340000092983,0.006626651925672846,,18,True,101101101111101111111010101011,"3,5,5,3,3,3,3,4,5,3",S,0.004666666666666667,0.00561111111111111
route438_mu_c0.0047_e0.0056,Frequency-only MILP,10.623267704732816,10.623267704732816,1.0292517175900214e-16,0.32235861323632753,3442.265005336707,7236.103383339288,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.3,5.7,39.311892030869714,0.892970799934119,6.584118025454189e-05,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,5",F,0.004666666666666667,0.00561111111111111
route438_mu_c0.0047_e0.0056,Joint MILP,10.724433070607171,10.624727495979078,0.4985278731404669,0.32341622226703315,3453.558547392793,7224.8098170519515,6.950353262212102,0.4985278731404669,1.0,1.3277953372173068,22,4.5,8.585714285714285,35.50938638983389,2.7003354001790285,0.09602198101967467,,18,True,101101101111101111111010101011,"2,7,7,2,5,5,5,3,7,2",MILP,0.004666666666666667,0.00561111111111111
route438_mu_c0.0047_e0.0077,Current practice,11.42909698247507,11.42909698247507,1.0292517175900214e-16,0.2782026779910881,2970.751528012092,7707.616704167676,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,39.98129027424587,0.01607850007712841,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,0.004666666666666667,0.007666666666666665
route438_mu_c0.0047_e0.0077,Stop-only MILP,10.75964926119692,10.647679060331443,0.5598510043273842,0.32075888172071054,3425.182478026957,7253.186027141832,7.011676393399019,0.5598510043273841,1.0,1.3277953372173068,23,3.7,8.55,36.485365208919625,0.8407145999372005,0.006482595242891173,,18,True,101011101111111111111010101011,"3,5,5,3,3,3,3,4,5,3",S,0.004666666666666667,0.007666666666666665
route438_mu_c0.0047_e0.0077,Frequency-only MILP,10.716429745287673,10.716429745287673,1.0292517175900214e-16,0.31727252090438135,3387.9538222961764,7290.41467078322,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,5.2,5.85,39.8810813628353,0.9113806001842022,6.163823721111777e-05,,18,True,111111111111111111111111111111,"5,6,6,5,5,5,5,5,6,4",F,0.004666666666666667,0.007666666666666665
route438_mu_c0.0047_e0.0077,Joint MILP,10.725116285332291,10.626977499113055,0.49069393109618153,0.3236843764897525,3456.4219977831303,7221.946500822442,6.942519320167815,0.49069393109618137,1.0,1.3277953372173068,23,5.0,7.2857142857142865,36.55615820344039,2.7164099998772144,0.08758415309655529,,18,True,101111101111101111111010101011,"5,7,7,5,5,2,5,5,7,2",MILP,0.004666666666666667,0.007666666666666665
route438_mu_c0.0047_e0.0097,Current practice,11.399004658593874,11.399004658593874,1.0292517175900214e-16,0.279780752174812,2987.602790287736,7690.765570966402,6.451825389071634,-5.3163375440105906e-17,1.0,0.0,30,3.7,8.55,40.552398478631666,0.01561899995431304,,,18,True,111111111111111111111111111111,"3,5,5,3,3,3,3,4,5,3",C,0.004666666666666667,0.00972222222222222
